video_url_mp4,video_url_webm,title,start_time,end_time
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Move hands over bowl,120.0,120.5999
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Rotate peeler,122.84,123.4399
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Rotate peelers,123.7999,124.2
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reach for drawer,124.64,125.04
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Open drawer,125.0799,125.5999
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reach into drawer,126.56,127.12
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Raise Knife,128.0399,128.4399
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Close drawer,128.5999,129.08
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Place carrot under thumb,129.5999,130.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Cutting a carrot,120.0,121.6419
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Looking at cutting utensil,121.6488,123.2741
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Putting cutting utensil down,123.2746,124.4534
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Stepping back,124.4534,124.9312
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Opening draw,124.9312,126.525
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reaching in draw,126.525,126.9487
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Moving knife over,126.9487,127.5554
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Picking up knife,127.5554,128.3283
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Closing draw,128.3283,129.14
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Moving back to counter,129.14,129.9998
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Slicing a carrot,130.0,133.3548
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reaching for carrot piece,133.3579,134.3284
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Picking up carrot piece,134.3386,134.7394
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Slicing a carrot,134.7434,139.5849
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Mixing salad,139.5861,139.9998
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Cut carrot,131.1608,131.5609
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reach into sink,133.4009,134.2409
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Cut carrot,135.1227,136.0426
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Cut carrot,136.7626,137.2827
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Cut carrot,138.4427,138.96
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Rotate carrot,135.4799,136.08
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Place carrot on counter,141.4,141.8
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Place peeler on counter,141.96,143.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Place knife on counter,143.24,143.84
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Lift bag,144.1599,144.6399
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Grab bag,144.0,144.8
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reach into bag,144.8,145.36
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Lift cucumber,145.36,146.12
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Carry bag,146.2427,147.5628
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Place bag on counter,148.8436,149.4036
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Missing salad,140.0,140.8399
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Putting carrot down,140.8419,141.9507
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Putting carrot peeler down,141.9536,142.8394
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Putting knife down,142.8403,143.9191
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Opening bag,144.1108,144.9686
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,Reaching in bag,144.9696,145.3854
